real_estate_type,district,governorate,area_m2,bedrooms_number,bathrooms_number,price,general_district,apartment_configuration,bathroom_bedroom_ratio,price_per_sq_m_2
Apartment,EL Patio 7 - 5th Settlement - New Cairo,Cairo,110.0,2,2,9680000.0,5th settlement,2 - 2,1.0,88000.0
Apartment,Scenario - New Capital City,Cairo,179.0,3,3,4982800.0,New Capital City,3 - 3,1.0,27836.87
Apartment,Scenario - New Capital City,Cairo,179.0,3,3,5254590.0,New Capital City,3 - 3,1.0,29355.25
Apartment,Sephora Heights - 5th Settlement - New Cairo,Cairo,120.0,2,2,9000000.0,5th settlement,2 - 2,1.0,75000.0
Apartment,Scenario - New Capital City,Cairo,179.0,3,3,5435782.0,New Capital City,3 - 3,1.0,30367.5
Apartment,Madinaty,Cairo,98.0,2,2,6050000.0,Madinaty,2 - 2,1.0,61734.69
Apartment,Madinaty,Cairo,90.0,2,2,5300000.0,Madinaty,2 - 2,1.0,58888.89
Apartment,Zamalek,Cairo,180.0,2,2,16500000.0,Zamalek,2 - 2,1.0,91666.67
Apartment,Hyde Park Central - New Cairo,Cairo,150.0,3,3,10000000.0,Other,3 - 3,1.0,66666.67
Apartment,Hyde Park Central - New Cairo,Cairo,170.0,4,3,10000000.0,Other,4 - 3,0.75,58823.53
Apartment,Haptown - Mostakbal City,Cairo,130.0,3,1,11100000.0,Mostakbal City,3 - 1,0.33,85384.62
Apartment,Stone Residence Compound - Katameya,Cairo,140.0,2,2,9000000.0,Katameya,2 - 2,1.0,64285.71
Apartment,Ashrafeya Compound - 5th Settlement - New Cairo,Cairo,233.0,4,3,8117423.0,5th settlement,4 - 3,0.75,34838.73
Apartment,Al Maqsad - New Capital City,Cairo,158.0,3,1,8200000.0,New Capital City,3 - 1,0.33,51898.73
Apartment,1st Settlement - New Cairo,Cairo,180.0,3,2,7200000.0,1st settlement,3 - 2,0.67,40000.0
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,130.0,2,2,4900000.0,5th settlement,2 - 2,1.0,37692.31
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,130.0,3,2,8484000.0,5th settlement,3 - 2,0.67,65261.54
Apartment,Madinaty,Cairo,124.0,3,2,5000000.0,Madinaty,3 - 2,0.67,40322.58
Apartment,Creek Town Compound - 5th Settlement - New Cairo,Cairo,165.0,3,2,9520000.0,5th settlement,3 - 2,0.67,57696.97
Apartment,Al Maqsad - New Capital City,Cairo,152.0,3,2,3200000.0,New Capital City,3 - 2,0.67,21052.63
Apartment,6th Settlement - New Cairo,Cairo,134.0,2,2,5900000.0,6th settlement,2 - 2,1.0,44029.85
Apartment,South of Academy - 5th Settlement - New Cairo,Cairo,209.0,3,2,7100000.0,5th settlement,3 - 2,0.67,33971.29
Apartment,Madinaty,Cairo,200.0,3,3,13000000.0,Madinaty,3 - 3,1.0,65000.0
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,200.0,3,3,14500000.0,5th settlement,3 - 3,1.0,72500.0
Apartment,Palm Hills New Cairo Compound - 5th Settlement - New Cairo,Cairo,193.0,3,3,13000000.0,5th settlement,3 - 3,1.0,67357.51
Apartment,Al Andalous - 5th Settlement - New Cairo,Cairo,150.0,3,2,3200000.0,5th settlement,3 - 2,0.67,21333.33
Apartment,Heliopolis,Cairo,166.0,3,3,9500000.0,Heliopolis,3 - 3,1.0,57228.92
Apartment,6th Settlement - New Cairo,Cairo,181.0,3,2,8900000.0,6th settlement,3 - 2,0.67,49171.27
Apartment,Madinaty,Cairo,96.0,2,2,4700000.0,Madinaty,2 - 2,1.0,48958.33
Apartment,1st Settlement - New Cairo,Cairo,126.0,2,2,8300000.0,1st settlement,2 - 2,1.0,65873.02
Apartment,The Address East Compound - 5th Settlement - New Cairo,Cairo,140.0,3,2,8700000.0,5th settlement,3 - 2,0.67,62142.86
Apartment,New Garden City - New Capital City,Cairo,131.0,3,2,4500000.0,New Capital City,3 - 2,0.67,34351.15
Apartment,Stoda Residence - Sheraton,Cairo,154.0,3,2,7326000.0,Sheraton,3 - 2,0.67,47571.43
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,158.0,3,2,5950000.0,5th settlement,3 - 2,0.67,37658.23
Apartment,City Oval - New Capital City,Cairo,167.0,3,3,5679698.0,New Capital City,3 - 3,1.0,34010.17
Apartment,Arabesque - El Fostat,Cairo,124.0,2,3,3117000.0,El Fostat,2 - 3,1.5,25137.1
Apartment,5th Settlement - New Cairo,Cairo,140.0,3,2,9170000.0,5th settlement,3 - 2,0.67,65500.0
Apartment,AZAD Compound - 5th Settlement - New Cairo,Cairo,140.0,2,2,9500000.0,5th settlement,2 - 2,1.0,67857.14
Apartment,Nasr City,Cairo,235.0,3,2,4000000.0,Nasr City,3 - 2,0.67,17021.28
Apartment,Maadi,Cairo,147.0,3,2,3822000.0,Maadi,3 - 2,0.67,26000.0
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,172.0,3,2,13260780.0,5th settlement,3 - 2,0.67,77097.56
Apartment,Bloomfields - Mostakbal City,Cairo,137.0,3,1,7840000.0,Mostakbal City,3 - 1,0.33,57226.28
Apartment,Sodic East - New Heliopolis,Cairo,153.0,3,2,9108000.0,New Heliopolis,3 - 2,0.67,59529.41
Apartment,New Garden City - New Capital City,Cairo,225.0,3,3,6935000.0,New Capital City,3 - 3,1.0,30822.22
Apartment,Heliopolis,Cairo,160.0,3,2,7000000.0,Heliopolis,3 - 2,0.67,43750.0
Apartment,Haptown - Mostakbal City,Cairo,195.0,3,3,7000000.0,Mostakbal City,3 - 3,1.0,35897.44
Apartment,Shorouk City,Cairo,195.0,3,3,3220000.0,Shorouk City,3 - 3,1.0,16512.82
Apartment,5th Settlement - New Cairo,Cairo,130.0,2,2,3750000.0,5th settlement,2 - 2,1.0,28846.15
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,167.0,3,3,12330000.0,5th settlement,3 - 3,1.0,73832.34
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,195.0,3,3,11500000.0,5th settlement,3 - 3,1.0,58974.36
Apartment,Al Burouj - Shorouk City,Cairo,135.0,2,2,5500000.0,Shorouk City,2 - 2,1.0,40740.74
Apartment,Vinci - New Capital City,Cairo,172.0,3,3,6498640.0,New Capital City,3 - 3,1.0,37782.79
Apartment,Village Gardens Katameya Compound - 5th Settlement - New Cairo,Cairo,157.0,2,2,7600000.0,5th settlement,2 - 2,1.0,48407.64
