real_estate_type,district,governorate,area_m2,bedrooms_number,bathrooms_number,price,general_district,apartment_configuration,bathroom_bedroom_ratio,price_per_sq_m_2
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,150.0,3,2,4400000.0,5th settlement,3 - 2,0.67,29333.33
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,140.0,3,2,4120000.0,5th settlement,3 - 2,0.67,29428.57
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,135.0,3,2,3980000.0,5th settlement,3 - 2,0.67,29481.48
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,160.0,3,3,4680000.0,5th settlement,3 - 3,1.0,29250.0
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,110.0,2,1,3827800.0,5th settlement,2 - 1,0.5,34798.18
Apartment,Al Maqsad - New Capital City,Cairo,161.0,3,3,4500000.0,New Capital City,3 - 3,1.0,27950.31
Apartment,Nasr City,Cairo,175.0,3,2,5500000.0,Nasr City,3 - 2,0.67,31428.57
Apartment,Nakheel Compound - 1st Settlement - New Cairo,Cairo,185.0,3,2,6900000.0,1st settlement,3 - 2,0.67,37297.3
Apartment,Al Maqsad - New Capital City,Cairo,168.0,3,3,8126000.0,New Capital City,3 - 3,1.0,48369.05
Apartment,6th Settlement - New Cairo,Cairo,132.0,2,2,7130000.0,6th settlement,2 - 2,1.0,54015.15
Apartment,Maadi,Cairo,82.0,1,1,11070000.0,Maadi,1 - 1,1.0,135000.0
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,168.0,3,2,7965237.0,1st settlement,3 - 2,0.67,47412.12
Apartment,Rehab City Compound - New Cairo,Cairo,127.0,3,2,7000000.0,Rehab City,3 - 2,0.67,55118.11
Apartment,6th Settlement - New Cairo,Cairo,178.0,3,2,9200000.0,6th settlement,3 - 2,0.67,51685.39
Apartment,El Maadi - Maadi,Cairo,76.0,1,1,17134000.0,Maadi,1 - 1,1.0,225447.37
Apartment,6th Settlement - New Cairo,Cairo,140.0,2,2,7000000.0,6th settlement,2 - 2,1.0,50000.0
Apartment,Madinaty,Cairo,208.0,4,3,10900000.0,Madinaty,4 - 3,0.75,52403.85
Apartment,90 Avenue Compound - 5th Settlement - New Cairo,Cairo,190.0,3,3,13000000.0,5th settlement,3 - 3,1.0,68421.05
Apartment,One Kattameya - Katameya,Cairo,95.0,2,2,2900000.0,Katameya,2 - 2,1.0,30526.32
Apartment,Madinaty,Cairo,100.0,2,2,3300000.0,Madinaty,2 - 2,1.0,33000.0
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,155.0,3,2,9900000.0,5th settlement,3 - 2,0.67,63870.97
Apartment,Al Maqsad - New Capital City,Cairo,135.0,3,2,2900000.0,New Capital City,3 - 2,0.67,21481.48
Apartment,Nasr City,Cairo,240.0,3,2,8000000.0,Nasr City,3 - 2,0.67,33333.33
Apartment,Maadi,Cairo,76.0,1,1,8567100.0,Maadi,1 - 1,1.0,112725.0
Apartment,Shorouk City,Cairo,225.0,3,3,4000000.0,Shorouk City,3 - 3,1.0,17777.78
Apartment,Madinaty,Cairo,96.0,2,2,4300000.0,Madinaty,2 - 2,1.0,44791.67
Apartment,Madinaty,Cairo,96.0,2,2,4500000.0,Madinaty,2 - 2,1.0,46875.0
Apartment,5th Settlement - New Cairo,Cairo,171.0,3,3,4309200.0,5th settlement,3 - 3,1.0,25200.0
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,171.0,3,3,5300000.0,5th settlement,3 - 3,1.0,30994.15
Apartment,Al Burouj - Shorouk City,Cairo,182.0,3,3,7200000.0,Shorouk City,3 - 3,1.0,39560.44
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,160.0,3,2,5320000.0,5th settlement,3 - 2,0.67,33250.0
Apartment,Bloomfields - Mostakbal City,Cairo,120.0,2,2,4160000.0,Mostakbal City,2 - 2,1.0,34666.67
Apartment,Al Burouj - Shorouk City,Cairo,134.0,2,2,5125000.0,Shorouk City,2 - 2,1.0,38246.27
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,235.0,4,4,9000000.0,5th settlement,4 - 4,1.0,38297.87
Apartment,Sarai - Mostakbal City,Cairo,79.0,1,1,5640000.0,Mostakbal City,1 - 1,1.0,71392.41
Apartment,Heliopolis,Cairo,233.0,4,2,13000000.0,Heliopolis,4 - 2,0.5,55793.99
Apartment,Wesal - Shorouk City,Cairo,230.0,3,2,4346800.0,Shorouk City,3 - 2,0.67,18899.13
Apartment,5th Settlement - New Cairo,Cairo,195.0,3,2,6500000.0,5th settlement,3 - 2,0.67,33333.33
Apartment,Rehab City Compound - New Cairo,Cairo,123.0,3,2,8100000.0,Rehab City,3 - 2,0.67,65853.66
Apartment,Sarai - Mostakbal City,Cairo,112.0,2,1,6470000.0,Mostakbal City,2 - 1,0.5,57767.86
Apartment,Sarai - Mostakbal City,Cairo,128.0,2,1,4200000.0,Mostakbal City,2 - 1,0.5,32812.5
Apartment,Palm Hills New Cairo Compound - 5th Settlement - New Cairo,Cairo,185.0,3,3,13770000.0,5th settlement,3 - 3,1.0,74432.43
Apartment,Sephora Heights - 5th Settlement - New Cairo,Cairo,110.0,2,1,5334000.0,5th settlement,2 - 1,0.5,48490.91
Apartment,Aljar - Shorouk City,Cairo,128.0,2,2,7200000.0,Shorouk City,2 - 2,1.0,56250.0
Apartment,Nasr City,Cairo,185.0,3,2,4500000.0,Nasr City,3 - 2,0.67,24324.32
Apartment,Bloomfields - Mostakbal City,Cairo,150.0,3,3,14179000.0,Mostakbal City,3 - 3,1.0,94526.67
Apartment,New Cairo,Cairo,190.0,3,2,8255000.0,Other,3 - 2,0.67,43447.37
Apartment,El Lotus - 5th Settlement - New Cairo,Cairo,190.0,3,3,6615000.0,5th settlement,3 - 3,1.0,34815.79
Apartment,New Cairo,Cairo,201.0,3,3,11000000.0,Other,3 - 3,1.0,54726.37
Apartment,Al Andalous - 5th Settlement - New Cairo,Cairo,184.0,3,3,4232000.0,5th settlement,3 - 3,1.0,23000.0
Apartment,New Cairo,Cairo,220.0,4,3,6000000.0,Other,4 - 3,0.75,27272.73
Apartment,Al Andalous - 5th Settlement - New Cairo,Cairo,195.0,3,3,5460000.0,5th settlement,3 - 3,1.0,28000.0
Apartment,Al Narges - 5th Settlement - New Cairo,Cairo,141.0,3,2,4480000.0,5th settlement,3 - 2,0.67,31773.05
Apartment,Al Andalous - 5th Settlement - New Cairo,Cairo,185.0,3,2,4200000.0,5th settlement,3 - 2,0.67,22702.7
Apartment,Sheraton,Cairo,145.0,3,2,10700000.0,Sheraton,3 - 2,0.67,73793.1
Apartment,Marriott Residence - Heliopolis,Cairo,127.0,2,2,8000000.0,Heliopolis,2 - 2,1.0,62992.13
Apartment,Galleria Compound - 5th Settlement - New Cairo,Cairo,153.0,3,1,7754585.0,5th settlement,3 - 1,0.33,50683.56
Apartment,EL Patio ORO Compound - 5th Settlement - New Cairo,Cairo,210.0,3,3,15500000.0,5th settlement,3 - 3,1.0,73809.52
Apartment,Beit Al Watan - 5th Settlement - New Cairo,Cairo,172.0,3,3,4626800.0,5th settlement,3 - 3,1.0,26900.0
Apartment,Bloomfields - Mostakbal City,Cairo,167.0,3,1,9450000.0,Mostakbal City,3 - 1,0.33,56586.83
Apartment,New Cairo,Cairo,200.0,4,3,4000000.0,Other,4 - 3,0.75,20000.0
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,225.0,4,2,9324744.0,1st settlement,4 - 2,0.5,41443.31
Apartment,1st District - 5th Settlement - New Cairo,Cairo,225.0,3,2,9000000.0,5th settlement,3 - 2,0.67,40000.0
Apartment,New Cairo,Cairo,167.0,3,3,6687292.0,Other,3 - 3,1.0,40043.66
Apartment,Marriott Residence - Heliopolis,Cairo,83.0,1,1,5880000.0,Heliopolis,1 - 1,1.0,70843.37
Apartment,Beit Al Watan - 5th Settlement - New Cairo,Cairo,205.0,3,2,5330000.0,5th settlement,3 - 2,0.67,26000.0
Apartment,Shorouk City,Cairo,70.0,2,1,860000.0,Shorouk City,2 - 1,0.5,12285.71
Apartment,Sheraton,Cairo,120.0,2,2,3700000.0,Sheraton,2 - 2,1.0,30833.33
Apartment,AZAD Compound - 5th Settlement - New Cairo,Cairo,140.0,2,2,7500000.0,5th settlement,2 - 2,1.0,53571.43
Apartment,Madinaty,Cairo,96.0,2,2,4750000.0,Madinaty,2 - 2,1.0,49479.17
Apartment,Madinaty,Cairo,160.0,3,3,8500000.0,Madinaty,3 - 3,1.0,53125.0
Apartment,The Square Compound - 5th Settlement - New Cairo,Cairo,191.0,4,3,10500000.0,5th settlement,4 - 3,0.75,54973.82
Apartment,La Mirada - Mostakbal City,Cairo,114.0,2,2,4000000.0,Mostakbal City,2 - 2,1.0,35087.72
Apartment,Al Burouj - Shorouk City,Cairo,160.0,3,3,1000000.0,Shorouk City,3 - 3,1.0,6250.0
Apartment,Amorada Compound - 5th Settlement - New Cairo,Cairo,149.0,3,2,10400000.0,5th settlement,3 - 2,0.67,69798.66
Apartment,Amorada Compound - 5th Settlement - New Cairo,Cairo,126.0,2,2,12100000.0,5th settlement,2 - 2,1.0,96031.75
Apartment,The Icon Residence Compound - 5th Settlement - New Cairo,Cairo,126.0,2,2,7200000.0,5th settlement,2 - 2,1.0,57142.86
Apartment,Al Burouj - Shorouk City,Cairo,134.0,2,2,4850000.0,Shorouk City,2 - 2,1.0,36194.03
Apartment,Madinaty,Cairo,140.0,3,2,7300000.0,Madinaty,3 - 2,0.67,52142.86
Apartment,5th Settlement - New Cairo,Cairo,155.0,3,2,1800000.0,5th settlement,3 - 2,0.67,11612.9
Apartment,Sarai - Mostakbal City,Cairo,62.0,1,1,4000000.0,Mostakbal City,1 - 1,1.0,64516.13
Apartment,Valore Sheraton - Sheraton,Cairo,145.0,3,2,1200000.0,Sheraton,3 - 2,0.67,8275.86
Apartment,Shorouk City,Cairo,179.0,3,2,10485280.0,Shorouk City,3 - 2,0.67,58576.98
Apartment,5th Settlement - New Cairo,Cairo,170.0,3,3,3629235.0,5th settlement,3 - 3,1.0,21348.44
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,143.0,3,2,9890000.0,5th settlement,3 - 2,0.67,69160.84
Apartment,Grand Gate - Zahraa Al Maadi,Cairo,161.0,3,2,3400000.0,Zahraa Al Maadi,3 - 2,0.67,21118.01
Apartment,Promenade New Cairo Compound - 5th Settlement - New Cairo,Cairo,225.0,4,3,9700000.0,5th settlement,4 - 3,0.75,43111.11
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,133.0,3,3,10610000.0,1st settlement,3 - 3,1.0,79774.44
Apartment,El Shorouk 2000 - Shorouk City,Cairo,179.0,3,3,8900000.0,Shorouk City,3 - 3,1.0,49720.67
Apartment,Shorouk City,Cairo,179.0,3,3,8900000.0,Shorouk City,3 - 3,1.0,49720.67
Apartment,New Narges - 5th Settlement - New Cairo,Cairo,166.0,3,2,6550000.0,5th settlement,3 - 2,0.67,39457.83
Apartment,Privado - Madinaty,Cairo,131.0,3,2,9900000.0,Madinaty,3 - 2,0.67,75572.52
Apartment,90 Avenue Compound - 5th Settlement - New Cairo,Cairo,164.0,3,2,16473801.0,5th settlement,3 - 2,0.67,100450.01
Apartment,EL Patio ORO Compound - 5th Settlement - New Cairo,Cairo,166.0,3,3,7700000.0,5th settlement,3 - 3,1.0,46385.54
Apartment,Sarai - Mostakbal City,Cairo,169.0,3,3,5500000.0,Mostakbal City,3 - 3,1.0,32544.38
Apartment,5th Settlement - New Cairo,Cairo,120.0,2,2,4900000.0,5th settlement,2 - 2,1.0,40833.33
Apartment,5th Settlement - New Cairo,Cairo,245.0,3,3,4452739.0,5th settlement,3 - 3,1.0,18174.44
Apartment,Madinaty,Cairo,96.0,2,2,4550000.0,Madinaty,2 - 2,1.0,47395.83
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,135.0,3,2,7815500.0,5th settlement,3 - 2,0.67,57892.59
Apartment,Sarai - Mostakbal City,Cairo,147.0,3,2,4500000.0,Mostakbal City,3 - 2,0.67,30612.24
Apartment,New Cairo,Cairo,212.0,4,3,8960092.0,Other,4 - 3,0.75,42264.58
Apartment,Hyde Park Central - New Cairo,Cairo,86.0,2,1,6500000.0,Other,2 - 1,0.5,75581.4
Apartment,Shorouk City,Cairo,153.0,3,3,2100000.0,Shorouk City,3 - 3,1.0,13725.49
Apartment,Sheraton,Cairo,145.0,3,2,2200000.0,Sheraton,3 - 2,0.67,15172.41
Apartment,5th District - 5th Settlement - New Cairo,Cairo,180.0,3,3,7300000.0,5th settlement,3 - 3,1.0,40555.56
Apartment,Shorouk City,Cairo,101.0,2,1,1800000.0,Shorouk City,2 - 1,0.5,17821.78
Apartment,5th Settlement - New Cairo,Cairo,160.0,3,3,3800000.0,5th settlement,3 - 3,1.0,23750.0
Apartment,Celia - New Capital City,Cairo,180.0,3,3,7913400.0,New Capital City,3 - 3,1.0,43963.33
Apartment,Madinaty,Cairo,116.0,3,2,5200000.0,Madinaty,3 - 2,0.67,44827.59
Apartment,Al Burouj - Shorouk City,Cairo,235.0,3,3,10000000.0,Shorouk City,3 - 3,1.0,42553.19
Apartment,5th Settlement - New Cairo,Cairo,160.0,3,2,3850000.0,5th settlement,3 - 2,0.67,24062.5
Apartment,5th Settlement - New Cairo,Cairo,160.0,3,2,4400000.0,5th settlement,3 - 2,0.67,27500.0
Apartment,Beit Al Watan - 5th Settlement - New Cairo,Cairo,220.0,3,3,4500000.0,5th settlement,3 - 3,1.0,20454.55
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,195.0,3,3,7500000.0,5th settlement,3 - 3,1.0,38461.54
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,165.0,3,2,6700000.0,1st settlement,3 - 2,0.67,40606.06
Apartment,El Patio Sola - Shorouk City,Cairo,155.0,3,2,9780000.0,Shorouk City,3 - 2,0.67,63096.77
Apartment,OIA - New Capital City,Cairo,125.0,2,2,3437500.0,New Capital City,2 - 2,1.0,27500.0
Apartment,Village Gardens Katameya Compound - 5th Settlement - New Cairo,Cairo,155.0,2,2,9580000.0,5th settlement,2 - 2,1.0,61806.45
Apartment,Midtown Condo - New Capital City,Cairo,170.0,3,3,4000000.0,New Capital City,3 - 3,1.0,23529.41
Apartment,Heliopolis,Cairo,180.0,3,2,5500000.0,Heliopolis,3 - 2,0.67,30555.56
Apartment,El Lotus - 5th Settlement - New Cairo,Cairo,166.0,3,2,7900000.0,5th settlement,3 - 2,0.67,47590.36
Apartment,Sakan Masr - 5th Settlement - New Cairo,Cairo,115.0,3,1,2600000.0,5th settlement,3 - 1,0.33,22608.7
Apartment,Scenario - New Capital City,Cairo,185.0,3,3,5684217.0,New Capital City,3 - 3,1.0,30725.5
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,166.0,3,3,6900000.0,1st settlement,3 - 3,1.0,41566.27
Apartment,Scenario - New Capital City,Cairo,185.0,3,3,5880225.0,New Capital City,3 - 3,1.0,31785.0
Apartment,Badr City,Cairo,135.0,3,2,1750000.0,Badr City,3 - 2,0.67,12962.96
Apartment,Scenario - New Capital City,Cairo,185.0,3,3,6076232.0,New Capital City,3 - 3,1.0,32844.5
Apartment,Sarai - Mostakbal City,Cairo,132.0,3,2,7700000.0,Mostakbal City,3 - 2,0.67,58333.33
Apartment,Mountain View Hyde Park Compound - 5th Settlement - New Cairo,Cairo,200.0,3,3,6000000.0,5th settlement,3 - 3,1.0,30000.0
Apartment,The Address East Compound - 5th Settlement - New Cairo,Cairo,160.0,3,3,8500000.0,5th settlement,3 - 3,1.0,53125.0
Apartment,Scenario - New Capital City,Cairo,185.0,3,3,6566251.0,New Capital City,3 - 3,1.0,35493.25
Apartment,Badr City,Cairo,155.0,3,2,1500000.0,Badr City,3 - 2,0.67,9677.42
Apartment,Scenario - New Capital City,Cairo,185.0,3,3,7840300.0,New Capital City,3 - 3,1.0,42380.0
Apartment,Badr City,Cairo,155.0,3,2,1650000.0,Badr City,3 - 2,0.67,10645.16
Apartment,Scenario - New Capital City,Cairo,185.0,3,3,9800375.0,New Capital City,3 - 3,1.0,52975.0
Apartment,Badr City,Cairo,160.0,3,2,1700000.0,Badr City,3 - 2,0.67,10625.0
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,72.0,1,1,3085000.0,1st settlement,1 - 1,1.0,42847.22
Apartment,Beta Greens - Mostakbal City,Cairo,133.0,3,2,4200000.0,Mostakbal City,3 - 2,0.67,31578.95
Apartment,Beta Greens - Mostakbal City,Cairo,127.0,2,2,4775000.0,Mostakbal City,2 - 2,1.0,37598.43
Apartment,Badr City,Cairo,145.0,3,2,1750000.0,Badr City,3 - 2,0.67,12068.97
Apartment,Badr City,Cairo,175.0,3,1,1800000.0,Badr City,3 - 1,0.33,10285.71
Apartment,El Mearag City - Zahraa Al Maadi,Cairo,185.0,3,2,3500000.0,Zahraa Al Maadi,3 - 2,0.67,18918.92
Apartment,Al Maqsad - New Capital City,Cairo,158.0,2,3,3300000.0,New Capital City,2 - 3,1.5,20886.08
Apartment,Trio Gardens Compound - 5th Settlement - New Cairo,Cairo,135.0,2,3,8802000.0,5th settlement,2 - 3,1.5,65200.0
Apartment,Beit Al Watan - 5th Settlement - New Cairo,Cairo,234.0,4,4,5532000.0,5th settlement,4 - 4,1.0,23641.03
Apartment,Sephora Heights - 5th Settlement - New Cairo,Cairo,176.0,3,2,9060480.0,5th settlement,3 - 2,0.67,51480.0
Apartment,Sephora Heights - 5th Settlement - New Cairo,Cairo,110.0,2,1,5915000.0,5th settlement,2 - 1,0.5,53772.73
Apartment,Heliopolis,Cairo,127.0,2,2,9000000.0,Heliopolis,2 - 2,1.0,70866.14
Apartment,Madinaty,Cairo,82.0,2,1,4100000.0,Madinaty,2 - 1,0.5,50000.0
Apartment,Galleria Compound - 5th Settlement - New Cairo,Cairo,168.0,3,1,15285000.0,5th settlement,3 - 1,0.33,90982.14
Apartment,Mall 6ixty - Heliopolis,Cairo,127.0,2,2,9000000.0,Heliopolis,2 - 2,1.0,70866.14
Apartment,Madinaty,Cairo,103.0,3,2,5300000.0,Madinaty,3 - 2,0.67,51456.31
Apartment,The Address East Compound - 5th Settlement - New Cairo,Cairo,140.0,3,2,7730000.0,5th settlement,3 - 2,0.67,55214.29
Apartment,Al Maqsad - New Capital City,Cairo,145.0,3,2,5090000.0,New Capital City,3 - 2,0.67,35103.45
Apartment,New Capital City,Cairo,173.0,3,3,6383700.0,New Capital City,3 - 3,1.0,36900.0
Apartment,Mountain View Hyde Park Compound - 5th Settlement - New Cairo,Cairo,202.0,3,3,6000000.0,5th settlement,3 - 3,1.0,29702.97
Apartment,Isola - Sheraton,Cairo,150.0,3,2,6580000.0,Sheraton,3 - 2,0.67,43866.67
Apartment,Isola - Sheraton,Cairo,170.0,3,3,7630000.0,Sheraton,3 - 3,1.0,44882.35
Apartment,Rehab City Compound - New Cairo,Cairo,155.0,3,3,7700000.0,Rehab City,3 - 3,1.0,49677.42
Apartment,Privado - Madinaty,Cairo,84.0,2,1,7142000.0,Madinaty,2 - 1,0.5,85023.81
Apartment,Sarai - Mostakbal City,Cairo,138.0,2,3,4600000.0,Mostakbal City,2 - 3,1.5,33333.33
Apartment,Gardenia Compound - Nasr City,Cairo,135.0,2,1,3200000.0,Nasr City,2 - 1,0.5,23703.7
Apartment,Privado - Madinaty,Cairo,65.0,1,1,2190000.0,Madinaty,1 - 1,1.0,33692.31
Apartment,R7 - New Capital City,Cairo,160.0,3,2,6200000.0,New Capital City,3 - 2,0.67,38750.0
Apartment,El Lotus - 5th Settlement - New Cairo,Cairo,150.0,3,3,4300000.0,5th settlement,3 - 3,1.0,28666.67
Apartment,Al Narges - 5th Settlement - New Cairo,Cairo,225.0,3,4,7800000.0,5th settlement,3 - 4,1.33,34666.67
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,146.0,3,3,8500000.0,1st settlement,3 - 3,1.0,58219.18
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,122.0,2,2,5300000.0,1st settlement,2 - 2,1.0,43442.62
Apartment,El Lotus - 5th Settlement - New Cairo,Cairo,195.0,3,3,6500000.0,5th settlement,3 - 3,1.0,33333.33
Apartment,5th Settlement - New Cairo,Cairo,157.0,3,2,9200000.0,5th settlement,3 - 2,0.67,58598.73
Apartment,El Lotus - 5th Settlement - New Cairo,Cairo,175.0,3,2,4900000.0,5th settlement,3 - 2,0.67,28000.0
Apartment,District 5 Compound - 5th Settlement - New Cairo,Cairo,149.0,2,3,15000000.0,5th settlement,2 - 3,1.5,100671.14
Apartment,Sarai - Mostakbal City,Cairo,152.0,3,2,6000000.0,Mostakbal City,3 - 2,0.67,39473.68
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,138.0,3,2,3600000.0,5th settlement,3 - 2,0.67,26086.96
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,153.0,3,3,10000000.0,5th settlement,3 - 3,1.0,65359.48
Apartment,Sarai - Mostakbal City,Cairo,182.0,3,3,5300000.0,Mostakbal City,3 - 3,1.0,29120.88
Apartment,Midtown Condo - New Capital City,Cairo,209.0,3,3,4200000.0,New Capital City,3 - 3,1.0,20095.69
Apartment,Madinaty,Cairo,128.0,3,2,7000000.0,Madinaty,3 - 2,0.67,54687.5
Apartment,R8 - New Capital City,Cairo,179.0,3,3,8900000.0,New Capital City,3 - 3,1.0,49720.67
Apartment,Madinaty,Cairo,140.0,3,2,7000000.0,Madinaty,3 - 2,0.67,50000.0
Apartment,Midtown Sky - New Capital City,Cairo,145.0,3,2,3690105.0,New Capital City,3 - 2,0.67,25449.0
Apartment,Midtown Sky - New Capital City,Cairo,140.0,3,2,3562860.0,New Capital City,3 - 2,0.67,25449.0
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,130.0,2,2,4900000.0,1st settlement,2 - 2,1.0,37692.31
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,115.0,1,1,4750000.0,1st settlement,1 - 1,1.0,41304.35
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,160.0,3,2,17176000.0,5th settlement,3 - 2,0.67,107350.0
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,72.0,1,1,6000000.0,1st settlement,1 - 1,1.0,83333.33
Apartment,L’Avenir - Mostakbal City,Cairo,120.0,2,2,5000000.0,Mostakbal City,2 - 2,1.0,41666.67
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,114.0,2,1,8560000.0,1st settlement,2 - 1,0.5,75087.72
Apartment,EL Patio ORO Compound - 5th Settlement - New Cairo,Cairo,128.0,2,2,7600000.0,5th settlement,2 - 2,1.0,59375.0
Apartment,Village Gate Compound - 5th Settlement - New Cairo,Cairo,90.0,1,1,5800000.0,5th settlement,1 - 1,1.0,64444.44
Apartment,The Butterfly - Mostakbal City,Cairo,60.0,1,1,7960000.0,Mostakbal City,1 - 1,1.0,132666.67
Apartment,Madinaty,Cairo,103.0,3,2,4600000.0,Madinaty,3 - 2,0.67,44660.19
Apartment,The Butterfly - Mostakbal City,Cairo,60.0,1,1,2339000.0,Mostakbal City,1 - 1,1.0,38983.33
Apartment,Stone Residence Compound - Katameya,Cairo,155.0,2,2,7700000.0,Katameya,2 - 2,1.0,49677.42
Apartment,Hyde Park New Cairo Compound - 5th Settlement - New Cairo,Cairo,87.0,2,2,7600000.0,5th settlement,2 - 2,1.0,87356.32
Apartment,Madinaty,Cairo,96.0,2,2,4650000.0,Madinaty,2 - 2,1.0,48437.5
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,164.0,3,2,7300000.0,1st settlement,3 - 2,0.67,44512.2
Apartment,Sarai - Mostakbal City,Cairo,156.0,3,2,4400000.0,Mostakbal City,3 - 2,0.67,28205.13
Apartment,Midtown Sky - New Capital City,Cairo,145.0,2,2,3690105.0,New Capital City,2 - 2,1.0,25449.0
Apartment,Madinaty,Cairo,65.0,2,1,5660000.0,Madinaty,2 - 1,0.5,87076.92
Apartment,5th Settlement - New Cairo,Cairo,220.0,4,3,5500000.0,5th settlement,4 - 3,0.75,25000.0
Apartment,Palm Hills New Cairo Compound - 5th Settlement - New Cairo,Cairo,232.0,3,3,15500000.0,5th settlement,3 - 3,1.0,66810.34
Apartment,Heliopolis,Cairo,131.0,3,2,4500000.0,Heliopolis,3 - 2,0.67,34351.15
Apartment,Valore Sheraton - Sheraton,Cairo,131.0,2,2,8500000.0,Sheraton,2 - 2,1.0,64885.5
Apartment,5th Settlement - New Cairo,Cairo,145.0,3,2,5660000.0,5th settlement,3 - 2,0.67,39034.48
Apartment,Al Andalous - 5th Settlement - New Cairo,Cairo,180.0,3,2,6500000.0,5th settlement,3 - 2,0.67,36111.11
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,115.0,2,2,4300000.0,1st settlement,2 - 2,1.0,37391.3
Apartment,Bavaria Town - Zahraa Al Maadi,Cairo,137.0,3,2,2192000.0,Zahraa Al Maadi,3 - 2,0.67,16000.0
Apartment,Noor City - New Capital City,Cairo,67.0,1,1,3694000.0,New Capital City,1 - 1,1.0,55134.33
Apartment,1st Settlement - New Cairo,Cairo,200.0,3,2,7000000.0,1st settlement,3 - 2,0.67,35000.0
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,173.0,3,3,9000000.0,5th settlement,3 - 3,1.0,52023.12
Apartment,VGK Compound - 5th Settlement - New Cairo,Cairo,155.0,3,3,11000000.0,5th settlement,3 - 3,1.0,70967.74
Apartment,Hyde Park New Cairo Compound - 5th Settlement - New Cairo,Cairo,185.0,3,3,9700000.0,5th settlement,3 - 3,1.0,52432.43
Apartment,Hyde Park New Cairo Compound - 5th Settlement - New Cairo,Cairo,83.0,1,2,7500000.0,5th settlement,1 - 2,2.0,90361.45
Apartment,Shorouk City,Cairo,180.0,3,2,2850000.0,Shorouk City,3 - 2,0.67,15833.33
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,160.0,3,3,12023200.0,5th settlement,3 - 3,1.0,75145.0
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,207.0,3,3,16450000.0,5th settlement,3 - 3,1.0,79468.6
Apartment,Palm Hills New Cairo Compound - 5th Settlement - New Cairo,Cairo,182.0,3,3,8700000.0,5th settlement,3 - 3,1.0,47802.2
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,155.0,3,2,13000000.0,5th settlement,3 - 2,0.67,83870.97
Apartment,Palm Hills New Cairo Compound - 5th Settlement - New Cairo,Cairo,70.0,1,1,4699054.0,5th settlement,1 - 1,1.0,67129.34
Apartment,IL Bosco - New Capital City,Cairo,192.0,3,3,6500000.0,New Capital City,3 - 3,1.0,33854.17
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,125.0,2,2,5300000.0,1st settlement,2 - 2,1.0,42400.0
Apartment,AZAD Compound - 5th Settlement - New Cairo,Cairo,190.0,2,2,12650000.0,5th settlement,2 - 2,1.0,66578.95
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,156.0,3,2,6200000.0,1st settlement,3 - 2,0.67,39743.59
Apartment,6th Settlement - New Cairo,Cairo,167.0,3,2,8700000.0,6th settlement,3 - 2,0.67,52095.81
Apartment,Privado - Madinaty,Cairo,65.0,1,1,4800000.0,Madinaty,1 - 1,1.0,73846.15
Apartment,EL Patio ORO Compound - 5th Settlement - New Cairo,Cairo,210.0,3,3,13500000.0,5th settlement,3 - 3,1.0,64285.71
Apartment,Alca New Cairo Compound - 6th Settlement - New Cairo,Cairo,140.0,2,2,5000000.0,6th settlement,2 - 2,1.0,35714.29
